customer_id,churn,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,charges_daily,charges_monthly,charges_total,charges_monthly_seg,charges_total_seg,tenure_seg
0019-EFAEP,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),3.38,101.3,7261.25,Alto,Alto,Muy leal
0019-GFNTW,0,Female,0,0,0,56,0,No phone service,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),1.5,45.05,2560.1,Medio-bajo,Medio-alto,Leal
0020-INWCK,0,Female,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),3.19,95.75,6849.4,Alto,Alto,Muy leal
0020-JDNXP,0,Female,0,1,1,34,0,No phone service,DSL,1,0,1,1,1,1,One year,0,Mailed check,2.04,61.25,1993.2,Medio-bajo,Medio-alto,Intermedio
0021-IKXGC,0,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,2.4,72.1,72.1,Medio-alto,Bajo,Nuevo
0022-TCJCI,1,Male,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),2.09,62.7,2791.5,Medio-bajo,Medio-alto,Leal
0023-HGHWL,1,Male,1,0,0,1,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,0.84,25.1,25.1,Bajo,Bajo,Nuevo
0023-UYUPN,0,Female,1,1,0,50,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,0.84,25.2,1306.3,Bajo,Medio-bajo,Leal
0023-XUOPT,1,Female,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,3.14,94.1,1215.6,Alto,Medio-bajo,Intermedio
0027-KWYKW,0,Female,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,2.79,83.75,1849.95,Medio-alto,Medio-alto,Intermedio
0030-FNXPP,0,Female,0,0,0,3,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,0.66,19.85,57.2,Bajo,Bajo,Nuevo
0031-PVLZI,1,Female,0,1,1,4,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,0.68,20.35,76.35,Bajo,Bajo,Nuevo
0032-PGELS,1,Female,0,1,1,1,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1.02,30.5,30.5,Bajo,Bajo,Nuevo
0036-IHMOT,0,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),3.46,103.7,5656.75,Alto,Alto,Leal
0040-HALCW,0,Male,0,1,1,54,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),0.68,20.4,1090.6,Bajo,Medio-bajo,Leal
0042-JVWOJ,0,Male,0,0,0,26,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),0.65,19.6,471.85,Bajo,Medio-bajo,Intermedio
0042-RLHYP,0,Female,0,1,1,69,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),0.66,19.7,1396.9,Bajo,Medio-alto,Muy leal
0048-LUMLS,0,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),3.04,91.2,3247.55,Alto,Medio-alto,Leal
0048-PIHNL,0,Female,0,1,0,49,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),0.68,20.45,900.9,Bajo,Medio-bajo,Leal
0052-DCKON,0,Male,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),3.86,115.8,7942.15,Alto,Alto,Muy leal
0052-YNYOT,0,Female,0,0,0,67,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,0.68,20.55,1343.4,Bajo,Medio-bajo,Muy leal
0056-EPFBG,0,Male,0,1,1,20,0,No phone service,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),1.31,39.4,825.4,Medio-bajo,Medio-bajo,Intermedio
0057-QBUQH,0,Female,0,0,1,43,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,0.84,25.1,1070.15,Bajo,Medio-bajo,Leal
0058-EVZWM,0,Female,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),2.99,89.8,4959.6,Medio-alto,Alto,Leal
0060-FUALY,0,Female,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,3.16,94.75,5597.65,Alto,Alto,Leal
0064-SUDOG,0,Female,0,1,1,12,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),0.68,20.3,224.5,Bajo,Bajo,Nuevo
0064-YIJGF,0,Male,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),2.52,75.75,1929.0,Medio-alto,Medio-alto,Intermedio
0067-DKWBL,1,Male,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,1.64,49.25,91.1,Medio-bajo,Bajo,Nuevo
0068-FIGTF,0,Female,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,2.61,78.2,2078.95,Medio-alto,Medio-alto,Intermedio
0071-NDAFP,0,Male,0,1,1,25,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),0.85,25.5,630.6,Bajo,Medio-bajo,Intermedio
0074-HDKDG,0,Male,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),2.05,61.6,1611.0,Medio-bajo,Medio-alto,Intermedio
0076-LVEPS,0,Male,0,0,1,29,0,No phone service,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,1.5,45.0,1242.45,Medio-bajo,Medio-bajo,Intermedio
0078-XZMHT,0,Male,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),2.84,85.15,6316.2,Medio-alto,Alto,Muy leal
0080-EMYVY,0,Female,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),1.72,51.45,727.85,Medio-bajo,Medio-bajo,Intermedio
0080-OROZO,0,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,3.31,99.25,3532.0,Alto,Medio-alto,Intermedio
0082-LDZUE,0,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,1.48,44.3,44.3,Medio-bajo,Bajo,Nuevo
0082-OQIQY,0,Male,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,3.14,94.2,2607.6,Alto,Medio-alto,Intermedio
0083-PIVIK,0,Male,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,2.71,81.25,5567.55,Medio-alto,Alto,Muy leal
0089-IIQKO,0,Female,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),3.33,99.95,3767.4,Alto,Medio-alto,Leal
0093-EXYQL,0,Female,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,3.05,91.55,3673.6,Alto,Medio-alto,Leal
0093-XWZFY,1,Male,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),3.48,104.5,4036.85,Alto,Alto,Leal
0094-OIFMO,1,Female,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,3.17,95.0,1120.3,Alto,Medio-bajo,Nuevo
0096-BXERS,0,Female,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,1.68,50.35,314.55,Medio-bajo,Bajo,Nuevo
0096-FCPUF,0,Male,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,2.15,64.5,1888.45,Medio-bajo,Medio-alto,Intermedio
0098-BOWSO,0,Male,0,0,0,27,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,0.65,19.4,529.8,Bajo,Medio-bajo,Intermedio
0100-DUVFC,0,Male,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,3.49,104.8,7308.95,Alto,Alto,Muy leal
0103-CSITQ,0,Female,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),3.65,109.4,6252.7,Alto,Alto,Leal
0104-PPXDV,0,Male,0,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),1.68,50.3,2878.55,Medio-bajo,Medio-alto,Leal
0106-GHRQR,0,Male,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),2.38,71.4,1212.1,Medio-alto,Medio-bajo,Intermedio
0106-UGRDO,0,Female,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,3.87,116.0,8182.85,Alto,Alto,Muy leal
0107-WESLM,1,Male,0,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,0.66,19.85,19.85,Bajo,Bajo,Nuevo
0107-YHINA,1,Male,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,3.32,99.75,99.75,Alto,Bajo,Nuevo
0111-KLBQG,0,Male,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,3.13,93.95,2861.45,Alto,Medio-alto,Intermedio
0112-QAWRZ,0,Male,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),3.03,90.8,1442.2,Alto,Medio-alto,Intermedio
0112-QWPNC,1,Male,0,1,0,49,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,2.81,84.35,4059.35,Medio-alto,Alto,Leal
0114-IGABW,0,Female,0,1,0,71,0,No phone service,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),1.94,58.25,4145.9,Medio-bajo,Alto,Muy leal
0114-PEGZZ,0,Female,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,3.58,107.55,3645.5,Alto,Medio-alto,Intermedio
0114-RSRRW,0,Female,0,1,0,10,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),0.66,19.95,187.75,Bajo,Bajo,Nuevo
0115-TFERT,1,Male,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,3.71,111.2,2317.1,Alto,Medio-alto,Intermedio
0117-LFRMW,1,Male,0,1,1,37,0,No phone service,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),1.34,40.2,1448.8,Medio-bajo,Medio-alto,Leal
0118-JPNOY,0,Female,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),2.86,85.8,2193.65,Medio-alto,Medio-alto,Intermedio
0121-SNYRK,0,Male,0,0,0,50,0,No phone service,DSL,1,0,0,1,0,0,One year,1,Mailed check,1.18,35.4,1748.9,Bajo,Medio-alto,Leal
0122-OAHPZ,1,Female,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,2.46,73.85,511.25,Medio-alto,Medio-bajo,Nuevo
0123-CRBRT,0,Female,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,2.94,88.1,5526.75,Medio-alto,Alto,Muy leal
0125-LZQXK,1,Male,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,3.38,101.35,1553.95,Alto,Medio-alto,Intermedio
0128-MKWSG,0,Female,0,0,1,26,0,No phone service,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,1.53,45.8,1147.0,Medio-bajo,Medio-bajo,Intermedio
0129-KPTWJ,0,Male,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,3.16,94.65,6747.35,Alto,Alto,Muy leal
0129-QMPDR,0,Male,0,1,1,44,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),0.68,20.5,865.05,Bajo,Medio-bajo,Leal
0130-SXOUN,0,Male,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),2.98,89.4,5976.9,Medio-alto,Alto,Muy leal
0133-BMFZO,1,Female,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,2.88,86.25,181.65,Medio-alto,Bajo,Nuevo
0134-XWXCE,0,Female,1,0,0,44,1,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),2.49,74.85,3268.05,Medio-alto,Medio-alto,Leal
0135-NMXAP,1,Female,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),2.99,89.75,1052.4,Medio-alto,Medio-bajo,Nuevo
0136-IFMYD,0,Male,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,3.66,109.95,7634.25,Alto,Alto,Muy leal
0137-OCGAB,1,Female,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,2.67,80.2,80.2,Medio-alto,Bajo,Nuevo
0137-UDEUO,1,Female,0,0,0,3,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,0.66,19.85,63.75,Bajo,Bajo,Nuevo
0139-IVFJG,0,Female,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,3.01,90.35,190.5,Alto,Bajo,Nuevo
0141-YEAYS,0,Female,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),2.88,86.45,2401.05,Medio-alto,Medio-alto,Intermedio
0142-GVYSN,0,Male,0,0,0,26,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,0.68,20.3,511.25,Bajo,Medio-bajo,Intermedio
0147-ESWWR,0,Female,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,3.38,101.25,3949.15,Alto,Alto,Leal
0148-DCDOS,1,Male,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),3.16,94.7,2362.1,Alto,Medio-alto,Intermedio
0151-ONTOV,1,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,2.36,70.9,70.9,Medio-alto,Bajo,Nuevo
0156-FVPTA,1,Male,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,1.81,54.2,1152.7,Medio-bajo,Medio-bajo,Intermedio
0164-APGRB,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,3.83,114.9,8496.7,Alto,Alto,Muy leal
0164-XAIRP,0,Female,0,0,0,24,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),0.65,19.55,470.2,Bajo,Medio-bajo,Intermedio
0168-XZKBB,0,Female,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,2.9,86.85,1564.4,Medio-alto,Medio-alto,Intermedio
0174-QRVVY,0,Male,0,1,1,71,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),0.85,25.35,1847.55,Bajo,Medio-alto,Muy leal
0177-PXBAT,0,Male,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),3.66,109.9,3694.7,Alto,Medio-alto,Intermedio
0178-CIIKR,0,Female,0,0,0,3,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,0.66,19.95,58.0,Bajo,Bajo,Nuevo
0178-SZBHO,0,Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,2.91,87.2,4017.45,Medio-alto,Alto,Leal
0181-RITDD,0,Male,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,3.6,108.15,6825.65,Alto,Alto,Muy leal
0186-CAERR,0,Male,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),3.88,116.3,8309.55,Alto,Alto,Muy leal
0187-QSXOE,0,Male,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,2.97,89.0,605.45,Medio-alto,Medio-bajo,Nuevo
0187-WZNAB,0,Female,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,2.48,74.4,1972.35,Medio-alto,Medio-alto,Intermedio
0188-GWFLE,0,Male,0,0,0,2,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,0.67,20.05,33.7,Bajo,Bajo,Nuevo
0191-EQUUH,0,Female,0,0,1,25,0,No phone service,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),1.17,35.05,844.45,Bajo,Medio-bajo,Intermedio
0191-ZHSKZ,0,Male,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,2.49,74.75,2111.3,Medio-alto,Medio-alto,Intermedio
0193-ESZXP,1,Female,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),3.52,105.5,6205.5,Alto,Alto,Leal
0195-IESCP,1,Male,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,2.84,85.25,855.3,Medio-alto,Medio-bajo,Nuevo
0196-JTUQI,0,Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),2.51,75.2,633.85,Medio-alto,Medio-bajo,Nuevo
0196-VULGZ,1,Female,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,2.81,84.35,474.9,Medio-alto,Medio-bajo,Nuevo
0197-PNKNK,0,Female,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),2.82,84.45,5848.6,Medio-alto,Alto,Muy leal
0201-MIBOL,0,Female,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),3.41,102.4,6471.85,Alto,Alto,Muy leal
0201-OAMXR,1,Female,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),3.85,115.55,8127.6,Alto,Alto,Muy leal
0203-HHYIJ,1,Male,0,0,0,25,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),0.84,25.3,676.35,Bajo,Medio-bajo,Intermedio
0206-OYVOC,0,Female,0,1,1,46,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,0.64,19.25,864.2,Bajo,Medio-bajo,Leal
0206-TBWLC,0,Female,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,3.82,114.65,6049.5,Alto,Alto,Leal
0207-MDKNV,1,Female,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,3.5,105.1,1582.75,Alto,Medio-alto,Intermedio
0208-BPQEJ,0,Female,0,1,1,12,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),0.65,19.4,198.1,Bajo,Bajo,Nuevo
0212-ISBBF,0,Female,0,0,0,22,0,No phone service,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,1.68,50.35,1098.85,Medio-bajo,Medio-bajo,Intermedio
0214-JHPFW,0,Female,0,1,0,70,0,No phone service,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),1.93,57.8,4039.3,Medio-bajo,Alto,Muy leal
0215-BQKGS,0,Male,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),2.81,84.3,2438.6,Medio-alto,Medio-alto,Intermedio
0218-QNVAS,0,Male,0,1,1,71,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),3.35,100.55,7113.75,Alto,Alto,Muy leal
0219-QAERP,0,Male,0,1,0,30,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),0.66,19.8,576.65,Bajo,Medio-bajo,Intermedio
0219-YTZUE,1,Male,0,1,1,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),2.83,84.8,371.9,Medio-alto,Bajo,Nuevo
0220-EBGCE,1,Male,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,2.86,85.85,167.3,Medio-alto,Bajo,Nuevo
0221-NAUXK,0,Male,0,0,1,10,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),0.66,19.95,219.5,Bajo,Bajo,Nuevo
0221-WMXNQ,0,Male,1,0,0,4,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,2.51,75.35,273.4,Medio-alto,Bajo,Nuevo
0222-CNVPT,0,Male,1,0,0,52,0,No phone service,DSL,1,0,0,0,1,1,Month-to-month,1,Credit card (automatic),1.63,48.8,2555.05,Medio-bajo,Medio-alto,Leal
0224-HJAPT,1,Male,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,1.57,47.15,223.15,Medio-bajo,Bajo,Nuevo
0224-NIJLP,0,Male,0,1,1,8,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,0.67,20.15,165.5,Bajo,Bajo,Nuevo
0224-RLWWD,0,Female,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,1.48,44.3,89.3,Medio-bajo,Bajo,Nuevo
0225-ZORZP,0,Male,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,2.81,84.3,235.05,Medio-alto,Bajo,Nuevo
0228-MAUWC,0,Male,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Month-to-month,0,Electronic check,1.98,59.55,1144.6,Medio-bajo,Medio-bajo,Intermedio
0229-LFJAF,0,Male,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),2.32,69.65,4908.25,Medio-bajo,Alto,Muy leal
0230-UBYPQ,0,Male,1,1,0,63,0,No phone service,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),1.2,36.1,2298.9,Medio-bajo,Medio-alto,Muy leal
0230-WEQUW,0,Male,0,1,0,66,0,No phone service,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),1.89,56.6,3789.2,Medio-bajo,Alto,Muy leal
0231-LXVAP,1,Male,0,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,2.53,75.9,75.9,Medio-alto,Bajo,Nuevo
0233-FTHAV,0,Female,0,0,0,60,1,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),2.64,79.2,4765.0,Medio-alto,Alto,Leal
0234-TEVTT,0,Female,0,1,1,48,0,No phone service,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),1.5,45.0,2196.3,Medio-bajo,Medio-alto,Leal
0235-KGSLC,1,Female,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),2.85,85.55,85.55,Medio-alto,Bajo,Nuevo
0236-HFWSV,1,Male,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,3.11,93.35,1444.65,Alto,Medio-alto,Intermedio
0237-YFUTL,0,Female,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),3.66,109.65,5405.8,Alto,Alto,Leal
0238-WHBIQ,0,Male,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),2.99,89.7,6339.3,Medio-alto,Alto,Muy leal
0239-OXEXL,0,Female,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,2.81,84.25,3847.6,Medio-alto,Alto,Leal
0244-LGNFY,0,Female,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),3.09,92.65,6733.0,Alto,Alto,Muy leal
